item,itemLabel
http://www.wikidata.org/entity/Q65223121,अंगना राम
http://www.wikidata.org/entity/Q65222746,अजमेर सिंह
http://www.wikidata.org/entity/Q42654594,अजय कोठियाल
http://www.wikidata.org/entity/Q65217580,अजय नाथ बहुगुणा
http://www.wikidata.org/entity/Q65218967,अजय वर्धन
http://www.wikidata.org/entity/Q65218161,अजित सिंह
http://www.wikidata.org/entity/Q65215733,अजित सिंह
http://www.wikidata.org/entity/Q65220450,अजीत सिंह
http://www.wikidata.org/entity/Q65220950,अजीत सिंह
http://www.wikidata.org/entity/Q65222930,अजीत सिंह
http://www.wikidata.org/entity/Q65222081,अजीत सिंह
http://www.wikidata.org/entity/Q65222745,अजीत सिंह
http://www.wikidata.org/entity/Q65217154,अट्टर सिंह
http://www.wikidata.org/entity/Q65222451,अनंत राम
http://www.wikidata.org/entity/Q65219369,अनंत विश्वनाथ नटू
http://www.wikidata.org/entity/Q56489363,अनंत सिंह पठानिया
http://www.wikidata.org/entity/Q65215748,अनिल कुमार
http://www.wikidata.org/entity/Q65220494,अनिल कृष्ण बारात
http://www.wikidata.org/entity/Q65215750,अनिल मल्होत्रा
http://www.wikidata.org/entity/Q4777760,अनुज नय्यर
http://www.wikidata.org/entity/Q65217610,अनुराग नौरियाल
http://www.wikidata.org/entity/Q65220899,अनुसूया प्रसाद
http://www.wikidata.org/entity/Q65215754,अनूप कुमार चांढक
http://www.wikidata.org/entity/Q65217606,अनूप जोसेफ मंजली
http://www.wikidata.org/entity/Q65220507,अनूप सिंह गहलौत
http://www.wikidata.org/entity/Q65220500,अन्नवी कृष्णस्वामी रामास्वामी
http://www.wikidata.org/entity/Q65215730,अभिनव हांडा
http://www.wikidata.org/entity/Q65216721,अमर सिंह
http://www.wikidata.org/entity/Q65222748,अमर सिंह
http://www.wikidata.org/entity/Q65216728,अमर सिंह
http://www.wikidata.org/entity/Q65220894,अमर सिंह
http://www.wikidata.org/entity/Q65222082,अमर सिंह खत्री
http://www.wikidata.org/entity/Q65223118,अमर सिंह बिष्ट
http://www.wikidata.org/entity/Q65217585,अमर सेन
http://www.wikidata.org/entity/Q65220455,अमरजीत सिंह बल
http://www.wikidata.org/entity/Q65222083,अमरदीप सिंह बेदी
http://www.wikidata.org/entity/Q65217600,अमित ऑस्कर फेरनान
http://www.wikidata.org/entity/Q65215739,अमित सेमवाल
http://www.wikidata.org/entity/Q65222931,अमी सिंह
http://www.wikidata.org/entity/Q65222186,अमोल कालिया
http://www.wikidata.org/entity/Q65219689,अरविंद नीलकंठ जातर
http://www.wikidata.org/entity/Q65220049,अरुण भीमराव हरोलीकर
http://www.wikidata.org/entity/Q65223125,अरुण रामलिंग माली
http://www.wikidata.org/entity/Q4802144,अरुण श्रीधर वैद्य
http://www.wikidata.org/entity/Q65215308,अरुण सिंह जसरोटिया
http://www.wikidata.org/entity/Q65222188,अर्जन सिंह नरूला
http://www.wikidata.org/entity/Q65222084,अर्जुन सिंह खन्ना
http://www.wikidata.org/entity/Q65215768,अर्जुन सिंह सिंह गुलेरिया
http://www.wikidata.org/entity/Q4710138,अल्बर्ट एकका
http://www.wikidata.org/entity/Q65215736,अल्लाह नोकाठाट
http://www.wikidata.org/entity/Q65222088,अवतार सिंह अहलावत
http://www.wikidata.org/entity/Q65217651,अविनाश सिंह भदौरिया
http://www.wikidata.org/entity/Q65222224,अशोक कुमार करकरे
http://www.wikidata.org/entity/Q65222193,अशोक कुमार चौहान
http://www.wikidata.org/entity/Q65222086,अशोक कुमार नंचाहल
http://www.wikidata.org/entity/Q65222087,अशोक कुमार शर्मा
http://www.wikidata.org/entity/Q65217614,अशोक कुमार सहरावत
http://www.wikidata.org/entity/Q65217619,अशोक कुमार सिंह
http://www.wikidata.org/entity/Q65222085,अशोक चौधरी
http://www.wikidata.org/entity/Q65222227,अश्वनी कुमार दीवान
http://www.wikidata.org/entity/Q65220175,आई जे एस बुटालिया
http://www.wikidata.org/entity/Q65219353,आनंद सरूप
http://www.wikidata.org/entity/Q65222343,आर जरी प्रेम राज
http://www.wikidata.org/entity/Q65223027,आर थंगावेलु
http://www.wikidata.org/entity/Q65216001,आर सुब्रमनयण
http://www.wikidata.org/entity/Q65222185,आलोक सिंह
http://www.wikidata.org/entity/Q65222190,आशीष सोनल
http://www.wikidata.org/entity/Q65215774,आशुतोष कुमार
http://www.wikidata.org/entity/Q65220513,आसा राम त्यागी
http://www.wikidata.org/entity/Q65220179,इंदर बाल सिंह बावा
http://www.wikidata.org/entity/Q65217732,इंदर सिंह रावत
http://www.wikidata.org/entity/Q65216156,इंदर्जित सिंह
http://www.wikidata.org/entity/Q65217737,इंदर्जीत सिंह बब्बर
http://www.wikidata.org/entity/Q65216792,इंद्र बहादुर गुरुंग
http://www.wikidata.org/entity/Q65219032,इंद्र बहादुर थापा
http://www.wikidata.org/entity/Q65222795,इंद्रबहादुर गुरुंग
http://www.wikidata.org/entity/Q65222274,इनायत अल्ताफ यूसुफजी
http://www.wikidata.org/entity/Q65220912,इमलियाकुम
http://www.wikidata.org/entity/Q65222275,इरला जयराम रेड्डी
http://www.wikidata.org/entity/Q65217740,इवान जोसेफ क्रेस्टो
http://www.wikidata.org/entity/Q65219880,इष्ट तुंडुप
http://www.wikidata.org/entity/Q65217366,इसरार रहीम खान
